;Caption;Population;True size;Comment;Source
0;Ammonia: Liquid ammonia as a solvent | Solubility of salts;closed;;similar to a list of animal species;
1;AK-47: Production;open;;production sites may be open or closed;
2;The Ashes: Summary of results and statistics;closed;;single row whose values are adapted;
3;Amazon River: Protected areas;open;;new protected areas may be added;
4;Economy of Armenia: GDP growth;open;;Continuous list with one line per year;
5;Alan Ayckbourn: C.V.;open;;active artist/athlete (table no longer exists;
6;Approval voting: Compliance with voting system criteria;closed;;Represents components of a closed theory;
7;Approval voting: Strategic voting | Strategy examples;closed;;Represents components of a closed theory (table no longer exists);
8;Allotropy: List of allotropes | Metals;closed;;similar to a list of animal species/Pflanzenarten;
9;Apollo 12: Mission highlights;closed;;past, closed time period (table no longer exists);
10;Executable and Linkable Format: File layout | File header;open;;file formats change over time;
11;"English orthography: Spelling patterns | Spelling-to-sound correspondences | Combinations of vowel letters and ""r""";open;;pronounciation changes over time;
12;Fiji: Regional and International Associations | Administrative divisions;closed;;districts/ administrative divisions are assumed to be stable;
13;Human evolution: Species list;closed;21;similar to a list of animal species;https://humanorigins.si.edu/evidence/human-fossils/species
14;Foreign relations of France: Bilateral relations | Africa;open;;foreign relations are subject to change;
15;Foreign relations of France: Bilateral relations | Europe;open;;foreign relations are subject to change;
16;EastEnders: Popularity and viewership | Ratings;open;;active series, continuous list with new line per year;
17;EverQuest: Expansions;open;;active videogame ;
18;Politics of French Guiana: General Council of French Guiana | Composition;open;;new parties may be founded;
19;Alliance of Liberals and Democrats for Europe Party: History of pan-European liberalism | European Council and Council of Ministers;open;;councils may change;
20;Harrisburg, Pennsylvania: Economy | Employers | Top 10;closed;11;list standardized to 10;
21;Accra: Twin towns/sister cities;open;;municipal partnerships may change;
22;Hokkaido: Geography | National parks and quasi-national parks;open;;new protected areas may be added (similar to table 3);
23;Oklahoma City: Sports | Current metro area pro-teams;open;;teams may stop or join (similar to table 29);
24;Oklahoma City: Geography | Tallest buildings;closed;11;list standardized to 10;
25;Montgomery County, Pennsylvania: Politics;open;;Continuous list with four-yearly election results;
26;Economy of Singapore: Economy statistics;open;;continuous list of economic development;
27;Charlotte, North Carolina: Economy;closed;21;list standardized to 20;
28;Sachin Tendulkar: International career | Captaincy;closed;4;list of updated sums for two events;
29;San Juan, Puerto Rico: Sports | Professional teams;open;;teams may stop or join (similar to table 23);
30;List of Billboard Hot 100 number-one singles of 1983: ;closed;;past, closed time period;
31;Something Corporate: Discography | Studio albums;closed;5;retired artist/athlete;https://www.discogs.com/de/artist/355468-Something-Corporate
32;The Great Escape (Blur album): Charts and certifications | Weekly charts;closed;;Chart positions of non-current pieces of music are considered closed;
